00,15,cad1,0.8,25.2,22.43,4.81
16,30,cad1,35.0,5.4,17.06,19.41
12,10,cad2,23.5,11.4,14.5,13.1
18,05,cad3,25.2,7.2,17.2,14.6
22,01,cad1,25.4,9.1,45.1,2.4
20,09,cad2,10.3,16.4,90.3,9.3
21,00,cad2,10.0,32.2,35.2,4.7
23,00,cad3,9.0,14.8,16.1,11.1
23,45,cad1,0.5,21.9,14.3,8.9
23,12,cad3,0.2,50.3,43.5,6.3
20,00,cad3,11.3,61.2,18.9,4.1
20,20,cad2,18.9,18.6,16.3,20.8
21,18,cad1,25.2,20.3,13.9,45.9
22,12,cad2,1.9,14.2,10.2,63.2
21,00,cad2,1.2,19.9,7.3,4.1
03,30,cad3,0.02,20.0,9.4,13.2
10,45,cad2,4.8,32.1,18.1,27.1
08,22,cad3,2.2,35.4,23.2,19.4
07,18,cad3,0.9,16.2,14.9,45.1
12,00,cad1,11.3,14.8,6.4,18.4
13,10,cad2,15.2,21.3,13.7,21.3
13,05,cad3,16.9,4.5,20.0,14.9
